kabupaten/kota,kecamatan,tahun,luas panen (ha),produksi (Ton),produktivitas (Ku/Ha)
Ngawi,Gerih,2021,5140,32111,"62,47276265"
Ngawi,Karanganyar,2019,1474,9210,"62,48303935"
Ngawi,Ngrambe,2021,7291,45563,"62,49211356"
Ngawi,Ngrambe,2024,5981,37401,"62,53302123"
Ngawi,Kendal,2018,5985,37427,"62,53467001"
Ngawi,Jogorogo,2018,5897,36877,"62,53518738"
Ngawi,Kasreman,2017,3603,22533,"62,53955037"
Bone,Kahu,2017,14772,92399,"62,55009477"
Indramayu,Krangkeng,2017,6961,43547,"62,55854044"
Bone,Kahu,2018,19278,120622,"62,56976865"
Ngawi,Ngrambe,2018,6822,42700,"62,59161536"
Ngawi,Widodaren,2017,12894,80731,"62,61129207"
Ngawi,Ngrambe,2025,5484,34337,"62,61305616"
Bone,Tanete timur,2022,4245,26599,"62,65959953"
Bone,Tanete timur,2023,2762,17307,"62,66111513"
Bone,Tanete timur,2024,2762,17307,"62,66111513"
Ngawi,Sine,2021,6677,41857,"62,68833308"
Ngawi,Ngrambe,2022,5260,32977,"62,69391635"
Ngawi,Padas,2018,6425,40306,"62,73307393"
Ngawi,Padas,2017,7352,46141,"62,75979325"
Ngawi,Jogorogo,2021,6306,39577,"62,76086267"
Bone,Ulaweng,2023,944,5925,"62,76483051"
Bone,Ulaweng,2024,944,5925,"62,76483051"
Ngawi,Pangkur,2017,4766,29915,"62,76751993"
Bone,Ulaweng,2022,444,2787,"62,77027027"
Indramayu,Losarang,2017,11000,69081,"62,80090909"
Indramayu,Sliveg,2017,8518,53500,"62,80817093"
Ngawi,Gerih,2018,5094,31996,"62,81115037"
Ngawi,Kasreman,2022,3336,20956,"62,8177458"
Bone,Dua boccoe,2025,9702,60996,"62,86951144"
Bone,Dua boccoe,2023,11863,74583,"62,8702689"
Bone,Dua boccoe,2024,11863,74583,"62,8702689"
Ngawi,Paron,2024,16122,101360,"62,87061159"
Ngawi,Ngawi,2022,8640,54351,"62,90625"
Ngawi,Bringin,2018,3404,21414,"62,90834313"
Ngawi,Kasreman,2025,3578,22519,"62,93739519"
